BTC:USDT_timestamp,BTC:USDT_sma_9,BTC:USDT_sma_20,BTC:USDT_sma_50,BTC:USDT_rsi,BTC:USDT_bollinger_up,BTC:USDT_bollinger_down,BTC:USDT_adx,BTC:USDT_macd_diff,BTC:USDT_obv,BTC:USDT_ichimoku_conversion,BTC:USDT_stochastic_k,BTC:USDT_stochastic_d,BTC:USDT_aroon_up,BTC:USDT_aroon_down,BTC:USDT_target
2019-02-10,3522.8599999999915,3514.001499999992,3643.5908000000068,58.40023725643052,3685.9592048341656,3342.0437951658187,18.343209885205876,33.88402148621482,-480970.454304,3553.34,81.83348128421379,58.95236948186625,14.285714285714286,85.71428571428572,-0.013317717645907834
2019-02-11,3536.891111111103,3517.0074999999924,3637.6176000000064,54.620580958122176,3694.8422760024114,3339.1727239975735,18.493950018338364,33.404441755504386,-505925.068875,3553.34,79.24526557183032,73.06885706934855,7.142857142857143,78.57142857142857,0.00011291499703935948
2019-02-12,3556.152222222214,3520.939499999992,3630.086600000006,54.64702496833318,3705.1316088967474,3336.747391103237,18.189050772098604,31.732491324078516,-476445.470645,3553.34,76.12720076934475,79.06864920846289,0.0,71.42857142857143,-0.006074691721786762
2019-02-13,3572.394444444436,3522.9284999999923,3627.358800000006,52.86210331362767,3710.0167206121832,3335.8402793878013,17.930500769573793,27.894524769352476,-502219.468293,3553.34,56.529965151910716,70.63414383102852,64.28571428571429,64.28571428571429,-0.005219704105945633
2019-02-14,3585.613333333325,3524.1919999999927,3623.615200000006,51.32039332972674,3712.7431102720275,3335.640889727958,17.3564887313508,23.04204943304699,-523972.969554,3553.34,39.0800873101221,57.24575107712579,57.142857142857146,57.142857142857146,0.003317031326589781
2019-02-15,3607.513333333325,3526.0529999999926,3624.306400000006,52.268118351977556,3716.9089799556127,3335.1970200443725,17.129222809106505,19.71795009302045,-503195.096655,3553.34,24.996494606696093,40.2021823562429,50.0,50.0,0.004424741913187313
2019-02-16,3631.9588888888807,3529.431499999993,3619.889400000006,53.57094423231186,3724.27356951222,3334.5894304877656,16.918190167022516,17.738305986508088,-483629.103904,3553.34,32.66500862820516,32.24719684834105,42.85714285714286,42.85714285714286,0.013588841507734095
2019-02-17,3632.9077777777693,3541.1029999999932,3619.3346000000056,57.430790291907776,3739.647265001031,3342.5587349989555,17.312750147773613,18.78534837043355,-457938.876125,3634.11,51.38111735406746,36.34754019632283,35.714285714285715,35.714285714285715,0.0629897643677848
2019-02-18,3658.843333333325,3565.480999999994,3621.2684000000054,70.03526249749738,3808.833053282456,3322.1289467175316,19.396858906296057,33.23699807440398,-393896.145633,3746.5550000000003,72.44192924514523,52.16268507580588,28.571428571428573,100.0,0.0023572564510336846
2019-02-19,3684.146666666658,3587.961499999994,3625.366200000006,70.41059478690678,3867.8384724214297,3308.084527578558,21.689723057664434,41.10039039204217,-343688.97296600003,3781.315,82.45376600333763,68.75893753418337,21.42857142857143,100.0,0.015852950132939636
